date,TotalSleep,Awake,REM,Light,Deep,Restless,Efficiency,Latency,AvgRHR,LowRHR,AvgHRV,TDiff,RespR,RecPts,RPE,TSS,Beers
2020-02-01,27090.0,1650.0,6120.0,13560.0,7410.0,31.0,94.0,450.0,51.43,48.0,24.0,-0.24,15.875,6.68,0.0,0.0,nothing
2020-02-02,28740.0,3360.0,6390.0,15600.0,6750.0,35.0,90.0,1050.0,48.22,44.0,44.0,-0.23,15.5,7.57,0.0,0.0,nothing
2020-02-03,21180.0,5700.0,3990.0,11190.0,6000.0,35.0,79.0,960.0,48.4,44.0,33.0,-0.31,15.125,7.13,3.0,39.0,nothing
2020-02-04,26940.0,2640.0,6390.0,16170.0,4380.0,34.0,91.0,1170.0,51.44,44.0,27.0,0.02,15.875,6.85,3.0,39.0,a little
2020-02-05,29310.0,3630.0,6150.0,21420.0,1740.0,35.0,89.0,330.0,55.93,48.0,23.0,0.13,16.375,6.63,0.0,0.0,nothing
2020-02-06,25440.0,1320.0,5100.0,15600.0,4740.0,40.0,95.0,600.0,53.31,46.0,26.0,0.03,15.75,6.79,3.0,39.0,nothing
2020-02-07,29730.0,1350.0,6360.0,19260.0,4110.0,35.0,96.0,420.0,53.07,48.0,26.0,0.07,16.0,6.79,3.0,39.0,nothing
2020-02-08,28020.0,2700.0,7140.0,16560.0,4320.0,39.0,91.0,270.0,52.44,47.0,26.0,-0.05,15.625,6.79,0.0,0.0,a little
2020-02-09,32490.0,1890.0,7050.0,19350.0,6090.0,37.0,95.0,510.0,49.35,45.0,37.0,0.07,15.25,7.3,3.0,44.0,nothing
2020-02-10,25830.0,3330.0,4620.0,17760.0,3450.0,40.0,89.0,1140.0,52.91,47.0,23.0,0.24,16.5,6.63,3.0,39.0,a little
2020-02-11,23220.0,4500.0,4410.0,15540.0,3270.0,39.0,84.0,1170.0,49.33,45.0,31.0,0.05,15.375,7.04,7.3,58.0,nothing
2020-02-12,18180.0,11340.0,6120.0,7980.0,4080.0,20.0,62.0,900.0,51.54,46.0,29.0,0.1,13.625,6.95,0.0,0.0,nothing
2020-02-13,25470.0,1950.0,5070.0,14280.0,6120.0,34.0,93.0,330.0,49.93,46.0,37.0,-0.15,15.125,7.3,3.0,44.0,nothing
2020-02-14,23940.0,2760.0,3330.0,16110.0,4500.0,35.0,90.0,900.0,56.0,50.0,21.0,0.05,16.25,6.51,3.0,44.0,a little
2020-02-15,32310.0,5670.0,7140.0,23040.0,2130.0,45.0,85.0,2160.0,59.53,48.0,23.0,0.11,16.625,6.63,0.0,0.0,a little
2020-02-16,32670.0,3930.0,6000.0,25230.0,1440.0,41.0,89.0,240.0,54.91,47.0,33.0,0.24,16.375,7.13,0.0,0.0,a little
2020-02-17,33240.0,2940.0,7140.0,20850.0,5250.0,44.0,92.0,1530.0,53.54,48.0,33.0,0.26,16.125,7.13,9.2,34.0,nothing
2020-02-18,25140.0,3000.0,3600.0,16230.0,5310.0,37.0,89.0,1020.0,53.49,46.0,26.0,0.06,16.5,6.79,3.0,39.0,nothing
2020-02-19,27720.0,3060.0,4740.0,17640.0,5340.0,36.0,90.0,540.0,49.06,45.0,32.0,-0.14,15.5,7.09,0.0,0.0,a little
2020-02-20,25860.0,3840.0,3960.0,17190.0,4710.0,37.0,87.0,1170.0,54.88,47.0,24.0,0.01,16.25,6.68,5.3,62.0,nothing
2020-02-21,24270.0,1890.0,4680.0,13590.0,6000.0,35.0,93.0,1140.0,53.94,50.0,24.0,-0.22,16.125,6.69,0.0,0.0,a little
2020-02-22,36060.0,3780.0,9120.0,21960.0,4980.0,45.0,91.0,1140.0,48.92,45.0,36.0,-0.13,15.125,7.26,0.0,0.0,nothing
2020-02-23,27870.0,2850.0,6210.0,16980.0,4680.0,43.0,91.0,1530.0,50.63,48.0,34.0,-0.04,15.5,7.18,4.4,67.0,nothing
2020-02-24,25560.0,3420.0,3330.0,16890.0,5340.0,34.0,88.0,1440.0,51.6,48.0,27.0,-0.07,16.0,6.85,3.0,39.0,a little
2020-02-25,29010.0,4770.0,7410.0,15420.0,6180.0,36.0,86.0,600.0,50.85,45.0,33.0,0.18,15.25,7.13,5.3,57.0,nothing
2020-02-26,25530.0,1470.0,5370.0,17280.0,2880.0,36.0,95.0,510.0,53.03,48.0,25.0,0.01,15.875,6.74,0.0,0.0,a little
2020-02-27,23910.0,2070.0,5760.0,10830.0,7320.0,31.0,92.0,270.0,49.45,45.0,37.0,-0.14,15.25,7.3,6.8,65.0,a little
2020-02-28,23130.0,2130.0,5100.0,13110.0,4920.0,35.0,92.0,420.0,52.43,47.0,28.0,-0.36,16.125,6.9,3.1,43.0,too much
2020-02-29,26130.0,5250.0,5490.0,14280.0,6360.0,34.0,83.0,540.0,51.78,45.0,32.0,-0.3,15.75,7.09,0.0,0.0,nothing
2020-03-01,28170.0,2010.0,7500.0,15360.0,5310.0,34.0,93.0,870.0,49.83,46.0,33.0,-0.06,15.25,7.13,8.6,96.0,nothing
2020-03-02,25710.0,1590.0,6300.0,15510.0,3900.0,34.0,94.0,540.0,52.88,48.0,24.0,-0.11,16.5,6.69,4.2,39.0,nothing
2020-03-03,26910.0,1650.0,5670.0,13890.0,7350.0,33.0,94.0,330.0,48.0,45.0,38.0,-0.29,15.375,7.35,6.8,64.0,a little
2020-03-04,30300.0,2160.0,6570.0,15810.0,7920.0,31.0,93.0,270.0,51.62,45.0,27.0,-0.23,16.0,6.85,0.0,0.0,nothing
2020-03-05,25230.0,1830.0,5760.0,14910.0,4560.0,38.0,93.0,210.0,47.92,45.0,34.0,-0.28,15.375,7.18,5.5,65.0,nothing
2020-03-06,23790.0,5610.0,4770.0,15240.0,3780.0,36.0,81.0,1140.0,54.56,50.0,22.0,0.25,16.25,6.57,4.3,43.0,a little
2020-03-07,33990.0,3030.0,8250.0,19800.0,5940.0,36.0,92.0,300.0,48.86,44.0,30.0,-0.17,15.0,7.0,0.0,0.0,nothing
2020-03-08,25500.0,3840.0,6210.0,12840.0,6450.0,31.0,87.0,270.0,47.26,44.0,35.0,-0.55,14.875,7.22,8.7,104.0,nothing
2020-03-09,28740.0,1740.0,5940.0,17370.0,5430.0,34.0,94.0,270.0,48.69,45.0,31.0,-0.07,15.5,7.04,0.0,0.0,nothing
2020-03-10,19380.0,3840.0,2400.0,12810.0,4170.0,28.0,83.0,1110.0,49.57,45.0,29.0,-0.07,15.125,6.95,4.5,64.0,a little
2020-03-11,29670.0,1710.0,6150.0,18990.0,4530.0,34.0,95.0,1020.0,50.75,46.0,32.0,0.08,15.75,7.09,0.0,0.0,nothing
2020-03-12,24090.0,1290.0,5310.0,12900.0,5880.0,29.0,95.0,450.0,50.98,46.0,31.0,0.08,15.75,7.04,6.3,66.0,nothing
2020-03-13,26190.0,2610.0,5550.0,15510.0,5130.0,24.0,91.0,780.0,50.41,47.0,23.0,-0.02,15.625,6.63,0.0,0.0,nothing
2020-03-14,28033.526011560694,2733.64161849711,6274.161849710983,16822.023121387283,4937.341040462427,36.040462427745666,91.13294797687861,840.3468208092486,50.85375722543353,46.34104046242775,30.786127167630056,-0.010809248554913291,15.878612716763005,7.0696170212766,0.0,0.0,nothing
2020-03-15,27900.0,1740.0,6300.0,15060.0,6540.0,35.0,94.0,570.0,53.79,47.0,31.0,-0.07,15.875,7.04,8.6,111.0,nothing
2020-03-16,25080.0,2340.0,5580.0,15750.0,3750.0,39.0,91.0,420.0,48.36,45.0,31.0,-0.15,15.25,7.04,3.0,39.0,nothing
2020-03-17,26460.0,1320.0,5340.0,16560.0,4560.0,40.0,95.0,630.0,48.61,45.0,36.0,-0.06,15.25,7.26,6.9,68.0,nothing
2020-03-18,27840.0,2280.0,6510.0,15270.0,6060.0,35.0,92.0,780.0,48.19,46.0,35.0,-0.22,15.375,7.22,0.0,0.0,a little
2020-03-19,25080.0,3600.0,4800.0,16260.0,4020.0,37.0,87.0,1710.0,50.11,46.0,31.0,0.03,15.25,7.04,7.6,73.0,a little
2020-03-20,29010.0,6390.0,5670.0,18300.0,5040.0,35.0,82.0,1140.0,51.11,45.0,33.0,0.31,15.625,7.14,0.0,0.0,nothing
2020-03-21,35070.0,3270.0,9390.0,20400.0,5280.0,38.0,91.0,1080.0,49.97,44.0,34.0,0.23,15.375,7.18,0.0,0.0,nothing
2020-03-22,27240.0,4800.0,6090.0,14760.0,6390.0,36.0,85.0,1050.0,45.81,43.0,36.0,-0.14,14.75,7.26,9.3,113.0,a little
2020-03-23,27990.0,1710.0,6120.0,18090.0,3780.0,31.0,94.0,330.0,53.88,47.0,25.0,0.31,16.5,6.74,3.0,39.0,nothing
2020-03-24,24900.0,2760.0,5160.0,13710.0,6030.0,36.0,90.0,1110.0,49.15,46.0,35.0,0.07,15.625,7.22,3.0,39.0,a little
2020-03-25,32550.0,5970.0,6870.0,18210.0,7470.0,31.0,85.0,240.0,52.29,47.0,26.0,0.36,15.625,6.8,0.0,0.0,a little
2020-03-26,26670.0,6570.0,6030.0,16710.0,3930.0,36.0,80.0,1020.0,51.96,47.0,26.0,0.11,15.875,6.8,0.0,0.0,nothing
2020-03-27,28033.526011560694,2733.64161849711,6274.161849710983,16822.023121387283,4937.341040462427,36.040462427745666,91.13294797687861,840.3468208092486,50.85375722543353,46.34104046242775,30.786127167630056,-0.010809248554913291,15.878612716763005,7.0696170212766,3.0,43.0,too much
2020-03-28,32730.0,1530.0,8430.0,17340.0,6960.0,35.0,96.0,180.0,50.67,47.0,36.0,0.04,15.25,7.26,0.0,0.0,nothing
2020-03-29,30000.0,1440.0,8160.0,15450.0,6390.0,32.0,95.0,240.0,49.83,47.0,35.0,-0.04,15.75,7.22,3.4,69.0,nothing
2020-03-30,26310.0,2010.0,5940.0,15300.0,5070.0,32.0,93.0,1020.0,51.8,48.0,26.0,0.01,15.625,6.8,3.0,39.0,nothing
2020-03-31,26880.0,1500.0,5070.0,15630.0,6180.0,31.0,95.0,390.0,48.86,45.0,32.0,-0.14,15.375,7.09,6.0,69.0,too much
2020-04-01,29010.0,3450.0,6900.0,16380.0,5730.0,34.0,89.0,810.0,52.28,46.0,28.0,-0.1,15.5,6.9,0.0,0.0,nothing
2020-04-02,25740.0,2220.0,5310.0,16200.0,4230.0,39.0,92.0,1110.0,52.46,48.0,28.0,0.19,15.75,6.9,8.9,90.0,nothing
2020-04-03,27510.0,2550.0,6720.0,15360.0,5430.0,33.0,92.0,1170.0,52.46,48.0,25.0,-0.04,15.75,6.74,3.0,43.0,too much
2020-04-04,30420.0,3540.0,6030.0,19080.0,5310.0,39.0,90.0,810.0,53.11,47.0,28.0,0.01,15.375,6.9,0.0,0.0,a little
2020-04-05,28830.0,2550.0,7140.0,16680.0,5010.0,36.0,92.0,1080.0,53.34,48.0,27.0,-0.09,15.625,6.85,7.2,102.0,nothing
2020-04-06,25590.0,1950.0,3270.0,18630.0,3690.0,34.0,93.0,1440.0,53.08,47.0,26.0,0.29,16.25,6.8,3.0,39.0,nothing
2020-04-07,26340.0,1440.0,4920.0,16680.0,4740.0,31.0,95.0,480.0,52.23,47.0,28.0,0.0,16.25,6.9,7.3,85.0,a little
2020-04-08,31020.0,1080.0,7620.0,18420.0,4980.0,37.0,97.0,330.0,55.62,50.0,22.0,0.11,16.5,6.57,0.0,0.0,a little
2020-04-09,31350.0,4170.0,6330.0,20280.0,4740.0,33.0,88.0,210.0,53.11,48.0,26.0,0.36,15.875,6.8,0.0,0.0,nothing
2020-04-10,26610.0,1890.0,4500.0,17430.0,4680.0,33.0,93.0,870.0,53.3,47.0,26.0,-0.13,15.875,6.8,0.0,0.0,nothing
2020-04-11,33240.0,2940.0,8580.0,20040.0,4620.0,35.0,92.0,930.0,55.43,50.0,24.0,-0.02,16.125,7.0696170212766,0.0,0.0,a little
2020-04-12,29130.0,2490.0,6060.0,19380.0,3690.0,49.0,92.0,720.0,52.88,50.0,26.0,0.26,16.0,6.8,7.6,106.0,nothing
2020-04-13,20160.0,7140.0,5940.0,12600.0,1620.0,35.0,74.0,570.0,51.49,47.0,37.0,-0.02,15.875,7.31,3.0,39.0,a little
2020-04-14,26430.0,1710.0,4470.0,16980.0,4980.0,36.0,94.0,660.0,52.47,46.0,32.0,0.17,16.0,7.09,10.0,38.0,nothing
2020-04-15,30150.0,2010.0,7680.0,16980.0,5490.0,32.0,94.0,1020.0,50.62,47.0,33.0,0.16,15.875,7.14,0.0,0.0,nothing
2020-04-16,25950.0,1590.0,3840.0,17880.0,4230.0,37.0,94.0,420.0,53.92,48.0,28.0,0.16,16.125,6.9,6.6,67.0,a little
2020-04-17,23190.0,6570.0,4800.0,12630.0,5760.0,37.0,78.0,1110.0,55.05,52.0,23.0,0.28,16.125,6.63,3.0,43.0,a little
2020-04-18,29910.0,1890.0,7290.0,18300.0,4320.0,36.0,94.0,1080.0,51.71,47.0,29.0,0.03,15.875,6.95,0.0,0.0,nothing
2020-04-19,28800.0,1080.0,8130.0,14850.0,5820.0,38.0,96.0,150.0,51.59,48.0,28.0,0.01,16.0,6.9,8.2,109.0,nothing
2020-04-20,25950.0,2250.0,4980.0,18000.0,2970.0,40.0,92.0,570.0,52.19,48.0,27.0,0.06,16.25,6.85,6.5,69.0,nothing
2020-04-21,23670.0,2190.0,5430.0,11220.0,7020.0,37.0,92.0,1020.0,52.45,49.0,34.0,-0.09,16.25,7.18,9.5,31.0,a little
2020-04-22,26700.0,3780.0,5700.0,16740.0,4260.0,39.0,88.0,1140.0,52.0,48.0,29.0,0.14,16.125,6.95,0.0,0.0,nothing
